case,worked_region_id,tier,item_type,item_id,source_id,source_or_file,item_text,source_excerpt_or_support,map_context,review_question,falsification_prompt,allowed_decisions,reviewer_decision,confidence,required_revision,reviewer_notes
Eggs and health,eggs_observational_vs_rct,1,relation,eggs_r003,,examples/eggs/worked_region_observational_vs_rct_map.md,eggs_c012 --in_tension_with--> eggs_c008: JAMA's positive dose-response association and BMJ's null moderate-intake conclusion point in different directions and require method/context comparison.,"eggs_c012 excerpt: ""Each additional 300 mg... dietary cholesterol... higher risk of incident CVD... each additional half an egg... higher risk... associations between egg consumption... were no longer significant after adjusting for dietary cholesterol consumption."" | eggs_c008 excerpt: ""Consumption of at least one egg per day was not associated with incident cardiovascular disease risk... moderate egg consumption (up to one egg per day) is not associated with cardiovascular disease risk overall.""","source_claim=JAMA 2019 reports positive dose-response associations for dietary cholesterol and eggs, with egg associations attenuating after adjustment for dietary cholesterol. | target_claim=BMJ 2020 reports no overall CVD association for moderate egg consumption up to one egg per day in its cohorts and updated meta-analysis.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,relation,eggs_r005,,examples/eggs/worked_region_observational_vs_rct_map.md,"eggs_c015 --depends_on--> eggs_c016: The biomarker result depends on the RCT endpoint scope: LDL-c and LDL-c/HDL-c, not direct CVD outcomes.","eggs_c015 excerpt: ""Only included randomized controlled trials... healthy populations... pooled results showed... higher LDL-c/HDL-c ratio... higher LDL-c... RCTs with long term follow-up are needed."" | eggs_c016 excerpt: ""More egg consumption... significant elevation... LDL-c/HDL-c ratio... significantly higher concentration of LDL-c... did not show significant difference... HDL-c.""","source_claim=Li 2020 is randomized evidence in healthy participants, but it measures lipid markers rather than long-term CVD events. | target_claim=Li reports higher LDL-c/HDL-c ratio and LDL-c with more egg consumption, while HDL-c does not significantly change in the pooled analysis.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,relation,eggs_r006,,examples/eggs/worked_region_observational_vs_rct_map.md,eggs_c016 --in_tension_with--> eggs_c008: Randomized lipid-marker worsening can coexist with observational null CVD outcome findings but should not be collapsed into them.,"eggs_c016 excerpt: ""More egg consumption... significant elevation... LDL-c/HDL-c ratio... significantly higher concentration of LDL-c... did not show significant difference... HDL-c."" | eggs_c008 excerpt: ""Consumption of at least one egg per day was not associated with incident cardiovascular disease risk... moderate egg consumption (up to one egg per day) is not associated with cardiovascular disease risk overall.""","source_claim=Li reports higher LDL-c/HDL-c ratio and LDL-c with more egg consumption, while HDL-c does not significantly change in the pooled analysis. | target_claim=BMJ 2020 reports no overall CVD association for moderate egg consumption up to one egg per day in its cohorts and updated meta-analysis.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,relation,eggs_r007,,examples/eggs/worked_region_observational_vs_rct_map.md,eggs_c017 --refines--> eggs_c016: Duration and dose caveats qualify the interpretation of the LDL-c and LDL-c/HDL-c findings.,"eggs_c017 excerpt: ""Results did not show a clear trend... longer-term high egg-consumption may lead to higher LDL-c/HDL-c ratio and LDL-c... RCTs with long term follow-up are needed."" | eggs_c016 excerpt: ""More egg consumption... significant elevation... LDL-c/HDL-c ratio... significantly higher concentration of LDL-c... did not show significant difference... HDL-c.""","source_claim=Li's RCT synthesis suggests longer duration may matter but does not establish a clean dose trend or long-term health-outcome effect. | target_claim=Li reports higher LDL-c/HDL-c ratio and LDL-c with more egg consumption, while HDL-c does not significantly change in the pooled analysis.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,relation,eggs_r015,,examples/eggs/worked_region_observational_vs_rct_map.md,eggs_c004 --crux_for--> eggs_c018: How to weigh observational outcomes against intervention lipid markers is a crux for the overall egg recommendation.,"eggs_c004 excerpt: ""Observational studies... generally does not indicate a significant association with cardiovascular disease risk... intervention studies... associate intakes... with elevated total or low-density lipoprotein cholesterol."" | eggs_c018 excerpt: ""RCTs suggest lipid changes with substantial heterogeneity... observational studies does not provide strong support for a detrimental role of moderate egg consumption... up to one egg/day... one egg/day is unlikely to adversely affect overall disease risk.""","source_claim=The AHA advisory separates observational CVD outcome evidence, which generally lacks significant association, from intervention lipid evidence, which often shows elevated total or LDL cholesterol at higher intakes. | target_claim=NNR synthesizes the tension by treating RCT lipid changes as heterogeneous warning signals while observational evidence gives little support for harm from up to one egg per day, especially in European studies.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,loss,eggs_loss_003,,examples/eggs/decision_space_erosion_audit.md,"The flat baseline mentions high LDL and diabetes, but does not preserve these as separate subgroup caveats with different source bases and implications.",`aha_2023_dietary_cholesterol_news` lines 56-62; `bmj_2020_egg_consumption_cvd` lines 524-532.,"case_map_preserves=`eggs_c007`, `eggs_c009`, `eggs_r010`, `eggs_r017`.; flat_baseline_omission=High LDL and diabetes appear in a final caveat list rather than as claims that qualify different parts of the recommendation.; adversarial_check=survives, because subgroup caveats are in the fixed sources and materially affect dietary advice.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,loss,eggs_loss_005,,examples/eggs/decision_space_erosion_audit.md,"The flat baseline treats federal and AHA guidance as advice but does not preserve that DGA is a preponderance-of-evidence policy process using systematic review, data analysis, and food-pattern modeling.",`dga_2020_2025_pmc_summary` lines 31-37 and 54-60.,"case_map_preserves=`eggs_c001`, `eggs_c002`, `eggs_c003`, `eggs_r013`.; flat_baseline_omission=The baseline cites guideline direction but does not show why guideline documents should be separated from individual evidence studies.; adversarial_check=survives, because the guideline-process distinction is in the source subset and affects how evidence is converted into advice.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,loss,eggs_loss_006,,examples/eggs/decision_space_erosion_audit.md,The flat baseline uses NNR as a total-picture summary but does not preserve that the NNR egg review was a scoping review without de novo or qualified systematic reviews for the egg topic.,`nnr_2023_eggs_scoping_review` lines 42-52.,"case_map_preserves=`eggs_c018`, `eggs_c019`, `eggs_r014`.; flat_baseline_omission=The baseline summarizes NNR's conclusion without the evidence-grade caveat.; adversarial_check=survives, because the limitation affects confidence in the umbrella conclusion and is explicitly in the fixed source subset.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,loss,eggs_loss_007,,examples/eggs/decision_space_erosion_audit.md,"The flat baseline merges ""up to one egg per day"" across AHA, BMJ, and NNR even though each source uses it differently: public guidance for healthy people, observational cohort conclusion, and scoping-review synthesis.",`aha_2023_dietary_cholesterol_news` lines 56-62; `bmj_2020_egg_consumption_cvd` lines 40-43 and 537-544; `nnr_2023_eggs_scoping_review` lines 30-41.,"case_map_preserves=`eggs_c007`, `eggs_c008`, `eggs_c018`, and the Similar But Not Identical section.; flat_baseline_omission=The baseline uses the same phrase across sources without preserving source role and scope distinctions.; adversarial_check=survives, because same-wording cross-source claims are exactly where ordinary synthesis can hide disagreement and scope differences.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,overall,eggs_overall,,docs/review/REVIEWER_START_HERE.md,Overall judgment for this worked region.,"Use the completed Tier 1 claim, relation, and loss rows.","Scores: source_fidelity, relation_correctness, crux_usefulness, flat_synthesis_fairness, reasoning_utility.","Is this worked region showable with stated limits, or does it require revision first?",Mark needs_discussion or revise if any accepted claim depends on unresolved source-fidelity or relation-correctness problems.,accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,claim,covid_c005,rootclaim_debate_results,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,Rootclaim concedes that Peter Miller won the judged debate.,"""Peter Miller won the debate""",role=participant concession; span=source notes paragraph 2; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,claim,covid_c006,rootclaim_debate_results,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,Rootclaim maintains after the debate that lab leak remains the most likely explanation.,"""lab leak remains the most likely explanation""",role=participant disagreement; span=source notes paragraph 2; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,claim,covid_c009,good_judgment_superforecasting,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,Good Judgment's aggregate forecast favored natural zoonosis over biomedical research-related accident.,"""natural zoonosis as the most likely cause at 74%""",role=forecast aggregate; span=source notes paragraph 2; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,claim,covid_c010,good_judgment_superforecasting,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,Good Judgment also preserves persistent minority disagreement: some forecasters considered a biomedical research-related accident most likely.,"""10 of 54 forecasters saw a biomedical research-related accident as most likely""",role=forecast disagreement; span=source notes paragraph 2; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,claim,covid_c012,debarre_worobey_reply,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,Debarre and Worobey reject the inference that early Wuhan case geography reveals major proximity ascertainment bias.,"""no internal evidence of major bias""",role=methodological rebuttal; span=source notes paragraph 2; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,claim,covid_c013,debarre_worobey_reply,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,Their rebuttal depends partly on distinguishing residential locations from infection locations and allowing stochasticity.,"""infection locations were not limited to residential neighborhoods""",role=geography caveat; span=source notes paragraph 3; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,claim,covid_c014,levin_2025_bayesian_assessment,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,Levin's Bayesian assessment decomposes the origins question into four conditional factors rather than one undifferentiated probability.,"""decomposes the Bayes factor into four components""",role=Bayesian decomposition; span=source notes paragraph 2; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,claim,covid_c015,levin_2025_bayesian_assessment,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,Levin reports a very large odds ratio favoring accidental lab leak.,"""14,900:1 favoring accidental lab leak""",role=lab-leak-favoring result; span=source notes paragraph 3; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,claim,covid_c016,levin_2025_bayesian_assessment,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,Levin's source status should be kept distinct from a peer-reviewed consensus result because it is an NBER working paper.,"""NBER working papers are circulated for discussion""",role=review-status caveat; span=source notes paragraph 3; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,claim,covid_c017,weissman_2026_phylogeny_comment,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,Weissman's later critique argues that correcting a Bayesian error favors a single introduction over two introductions.,"""larger likelihood for a single introduction than for two introductions""",role=phylogeny critique; span=source notes paragraph 2; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,claim,covid_c018,weissman_2026_phylogeny_comment,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,The multiple-introduction critique is a subargument and should not be automatically treated as a full COVID origins resolution.,"""subissue, not the whole origins question""",role=scope caveat; span=source notes paragraph 3; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,relation,covid_r002,,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,covid_c005 --in_tension_with--> covid_c006: Rootclaim concedes the debate result while maintaining the opposite substantive bottom line.,"covid_c005 excerpt: ""Peter Miller won the debate"" | covid_c006 excerpt: ""lab leak remains the most likely explanation""",source_claim=Rootclaim concedes that Peter Miller won the judged debate. | target_claim=Rootclaim maintains after the debate that lab leak remains the most likely explanation.,"Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,relation,covid_r005,,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,covid_c009 --refines--> covid_c010: The minority distribution qualifies the aggregate forecast and prevents flattening Good Judgment into unanimity.,"covid_c009 excerpt: ""natural zoonosis as the most likely cause at 74%"" | covid_c010 excerpt: ""10 of 54 forecasters saw a biomedical research-related accident as most likely""",source_claim=Good Judgment's aggregate forecast favored natural zoonosis over biomedical research-related accident. | target_claim=Good Judgment also preserves persistent minority disagreement: some forecasters considered a biomedical research-related accident most likely.,"Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,relation,covid_r007,,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,"covid_c012 --challenges--> covid_c015: The Debarre/Worobey reply challenges one kind of geography-based lab-leak-favoring inference, although it does not evaluate all of Levin's decomposition.","covid_c012 excerpt: ""no internal evidence of major bias"" | covid_c015 excerpt: ""14,900:1 favoring accidental lab leak""",source_claim=Debarre and Worobey reject the inference that early Wuhan case geography reveals major proximity ascertainment bias. | target_claim=Levin reports a very large odds ratio favoring accidental lab leak.,"Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,relation,covid_r010,,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,covid_c016 --refines--> covid_c015: The working-paper status qualifies how much authority a reviewer should assign to the reported odds ratio.,"covid_c016 excerpt: ""NBER working papers are circulated for discussion"" | covid_c015 excerpt: ""14,900:1 favoring accidental lab leak""",source_claim=Levin's source status should be kept distinct from a peer-reviewed consensus result because it is an NBER working paper. | target_claim=Levin reports a very large odds ratio favoring accidental lab leak.,"Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,relation,covid_r011,,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,"covid_c017 --in_tension_with--> covid_c018: The critique may weaken a two-spillover subclaim, but the scope caveat prevents treating it as whole-case resolution.","covid_c017 excerpt: ""larger likelihood for a single introduction than for two introductions"" | covid_c018 excerpt: ""subissue, not the whole origins question""",source_claim=Weissman's later critique argues that correcting a Bayesian error favors a single introduction over two introductions. | target_claim=The multiple-introduction critique is a subargument and should not be automatically treated as a full COVID origins resolution.,"Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,relation,covid_r014,,examples/covid_origins_slice/worked_region_bayesian_disagreement_map.md,covid_c012 --crux_for--> covid_c001: Whether early-case geography survives bias critiques affects a major evidence family in the COVID origins dispute.,"covid_c012 excerpt: ""no internal evidence of major bias"" | covid_c001 excerpt: ""judges ruled for zoonosis; Bayesian analyses diverged sharply""",source_claim=Debarre and Worobey reject the inference that early Wuhan case geography reveals major proximity ascertainment bias. | target_claim=FLF frames COVID origins as a hard epistemic case because expert judgment favored zoonosis while Bayesian analyses of the evidence diverged sharply.,"Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,loss,covid_loss_003,,examples/covid_origins_slice/decision_space_erosion_audit.md,"The flat baseline lists origin site, superspreading location, and ascertainment assumptions but does not turn them into a navigable crux.",- `acx_rootclaim_review` - `debarre_worobey_reply`,"case_map_preserves=covid_c004`, `covid_c012`, `covid_c013`, `covid_r008`, `covid_r012`, `covid_r014; flat_baseline_omission=The prose leaves the market-geography roles in one sentence.; adversarial_check=survives; the role of geography is a high-leverage disagreement, not just context.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,loss,covid_loss_004,,examples/covid_origins_slice/decision_space_erosion_audit.md,The flat baseline reports Levin's large odds ratio but does not preserve the decomposition and working-paper status as separate audit targets.,- `levin_2025_bayesian_assessment`,"case_map_preserves=covid_c014`, `covid_c015`, `covid_c016`, `covid_r009`, `covid_r010`, `covid_r013; flat_baseline_omission=The prose gives the odds ratio and decomposition at high level but not the relation between decomposition, result, and source-status caveat.; adversarial_check=survives; this is exactly where a reviewer needs to inspect assumptions before trusting the number.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,loss,covid_loss_005,,examples/covid_origins_slice/decision_space_erosion_audit.md,"The flat baseline says Weissman's critique does not resolve the whole case, but it does not preserve the subargument boundary as an explicit relation.",- `weissman_2026_phylogeny_comment`,"case_map_preserves=covid_c017`, `covid_c018`, `covid_r011; flat_baseline_omission=The prose includes the caution but not as an auditable claim-relation pair.; adversarial_check=survives; this boundary prevents a later user from over-updating on a narrow methodological critique.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
COVID origins slice,covid_bayesian_disagreement,1,overall,covid_overall,,docs/review/REVIEWER_START_HERE.md,Overall judgment for this worked region.,"Use the completed Tier 1 claim, relation, and loss rows.","Scores: source_fidelity, relation_correctness, crux_usefulness, flat_synthesis_fairness, reasoning_utility.","Is this worked region showable with stated limits, or does it require revision first?",Mark needs_discussion or revise if any accepted claim depends on unresolved source-fidelity or relation-correctness problems.,accept|revise|reject|needs_discussion,pending,,,
